base,quote,status,symbol,trading_disabled,type
ETHFI,USDC,online,ETHFI-USDC,False,SPOT
W,USD,online,W-USD,False,SPOT
W,USDC,online,W-USDC,False,SPOT
TRAC,USD,online,TRAC-USD,False,SPOT
TRAC,USDC,online,TRAC-USDC,False,SPOT
ENS,USD,online,ENS-USD,False,SPOT
ENS,USDC,online,ENS-USDC,False,SPOT
FET,USDT,online,FET-USDT,False,SPOT
SNX,USD,online,SNX-USD,False,SPOT
SNX,USDC,online,SNX-USDC,False,SPOT
LINK,GBP,online,LINK-GBP,False,SPOT
BARD,USD,online,BARD-USD,False,SPOT
BARD,USDC,online,BARD-USDC,False,SPOT
PAXG,USD,online,PAXG-USD,False,SPOT
PAXG,USDC,online,PAXG-USDC,False,SPOT
SUPER,USD,online,SUPER-USD,False,SPOT
SUPER,USDC,online,SUPER-USDC,False,SPOT
ALGO,GBP,online,ALGO-GBP,False,SPOT
GRT,USD,online,GRT-USD,False,SPOT
GRT,USDC,online,GRT-USDC,False,SPOT
APE,USDT,online,APE-USDT,False,SPOT
XTZ,USD,online,XTZ-USD,False,SPOT
XTZ,USDC,online,XTZ-USDC,False,SPOT
ACH,USD,online,ACH-USD,False,SPOT
ACH,USDC,online,ACH-USDC,False,SPOT
YB,USD,online,YB-USD,False,SPOT
YB,USDC,online,YB-USDC,False,SPOT
DOT,EUR,online,DOT-EUR,False,SPOT
SPK,USD,online,SPK-USD,False,SPOT
SPK,USDC,online,SPK-USDC,False,SPOT
SQD,USD,online,SQD-USD,False,SPOT
SQD,USDC,online,SQD-USDC,False,SPOT
ZKC,USD,online,ZKC-USD,False,SPOT
ZKC,USDC,online,ZKC-USDC,False,SPOT
ANKR,USD,online,ANKR-USD,False,SPOT
ANKR,USDC,online,ANKR-USDC,False,SPOT
DAI,USD,online,DAI-USD,False,SPOT
DAI,USDC,online,DAI-USDC,False,SPOT
ORCA,USD,online,ORCA-USD,False,SPOT
ORCA,USDC,online,ORCA-USDC,False,SPOT
S,USD,online,S-USD,False,SPOT
S,USDC,online,S-USDC,False,SPOT
AMP,USD,online,AMP-USD,False,SPOT
AMP,USDC,online,AMP-USDC,False,SPOT
DOGE,GBP,online,DOGE-GBP,False,SPOT
TON,USD,online,TON-USD,False,SPOT
TON,USDC,online,TON-USDC,False,SPOT
AKT,USD,online,AKT-USD,False,SPOT
AKT,USDC,online,AKT-USDC,False,SPOT
HFT,USD,online,HFT-USD,False,SPOT
HFT,USDC,online,HFT-USDC,False,SPOT
KITE,USD,online,KITE-USD,False,SPOT
KITE,USDC,online,KITE-USDC,False,SPOT
ALGO,EUR,online,ALGO-EUR,False,SPOT
B3,USD,online,B3-USD,False,SPOT
B3,USDC,online,B3-USDC,False,SPOT
ATH,USD,online,ATH-USD,False,SPOT
ATH,USDC,online,ATH-USDC,False,SPOT
API3,USD,online,API3-USD,False,SPOT
API3,USDC,online,API3-USDC,False,SPOT
HONEY,USD,online,HONEY-USD,False,SPOT
HONEY,USDC,online,HONEY-USDC,False,SPOT
NOICE,USD,online,NOICE-USD,False,SPOT
NOICE,USDC,online,NOICE-USDC,False,SPOT
MLN,USD,online,MLN-USD,False,SPOT
MLN,USDC,online,MLN-USDC,False,SPOT
KARRAT,USD,online,KARRAT-USD,False,SPOT
KARRAT,USDC,online,KARRAT-USDC,False,SPOT
REZ,USD,online,REZ-USD,False,SPOT
REZ,USDC,online,REZ-USDC,False,SPOT
RED,USD,online,RED-USD,False,SPOT
RED,USDC,online,RED-USDC,False,SPOT
BIO,USD,online,BIO-USD,False,SPOT
BIO,USDC,online,BIO-USDC,False,SPOT
MKR,USD,online,MKR-USD,False,SPOT
MKR,USDC,online,MKR-USDC,False,SPOT
COTI,USD,online,COTI-USD,False,SPOT
COTI,USDC,online,COTI-USDC,False,SPOT
TREE,USD,online,TREE-USD,False,SPOT
TREE,USDC,online,TREE-USDC,False,SPOT
RARI,USD,online,RARI-USD,False,SPOT
RARI,USDC,online,RARI-USDC,False,SPOT
BNKR,USD,online,BNKR-USD,False,SPOT
BNKR,USDC,online,BNKR-USDC,False,SPOT
ETC,GBP,online,ETC-GBP,False,SPOT
SUSHI,USD,online,SUSHI-USD,False,SPOT
SUSHI,USDC,online,SUSHI-USDC,False,SPOT
KEYCAT,USD,online,KEYCAT-USD,False,SPOT
KEYCAT,USDC,online,KEYCAT-USDC,False,SPOT
LPT,USD,online,LPT-USD,False,SPOT
LPT,USDC,online,LPT-USDC,False,SPOT
ATOM,USDT,online,ATOM-USDT,False,SPOT
LTC,GBP,online,LTC-GBP,False,SPOT
ZRX,USD,online,ZRX-USD,False,SPOT
ZRX,USDC,online,ZRX-USDC,False,SPOT
WELL,USD,online,WELL-USD,False,SPOT
WELL,USDC,online,WELL-USDC,False,SPOT
EGLD,USD,online,EGLD-USD,False,SPOT
EGLD,USDC,online,EGLD-USDC,False,SPOT
TOWNS,USD,online,TOWNS-USD,False,SPOT
TOWNS,USDC,online,TOWNS-USDC,False,SPOT
2Z,USD,online,2Z-USD,False,SPOT
2Z,USDC,online,2Z-USDC,False,SPOT
IDEX,USD,online,IDEX-USD,False,SPOT
IDEX,USDC,online,IDEX-USDC,False,SPOT
FIL,EUR,online,FIL-EUR,False,SPOT
LINK,USDT,online,LINK-USDT,False,SPOT
SAND,USD,online,SAND-USD,False,SPOT
SAND,USDC,online,SAND-USDC,False,SPOT
PRO,USD,online,PRO-USD,False,SPOT
PRO,USDC,online,PRO-USDC,False,SPOT
LRC,USD,online,LRC-USD,False,SPOT
LRC,USDC,online,LRC-USDC,False,SPOT
LINEA,USD,online,LINEA-USD,False,SPOT
LINEA,USDC,online,LINEA-USDC,False,SPOT
BAT,EUR,online,BAT-EUR,False,SPOT
AGLD,USD,online,AGLD-USD,False,SPOT
